"Series Description","AUSTRALIA -- SPOT EXCHANGE RATE, US$/AUSTRALIAN $ RECIPROCAL OF RXI_N.M.AL ","SPOT EXCHANGE RATE - EURO AREA ","NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ (RECIPROCAL OF RXI_N.M.NZ) ","United Kingdom -- Spot Exchange Rate, US$/Pound Sterling Reciprocal of rxi_n.m.uk","BRAZIL -- SPOT EXCHANGE RATE, REAIS/US$ ","CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ ","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$","JAPAN -- SPOT EXCHANGE RATE, YEA/US$ ","Malaysia - Spot Exchange Rate, Ringgit/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/US$ ","Singapore - SPOT EXCHANGE RATE, SINGAPORE $/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ ","SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ","THAILAND -- SPOT EXCHANGE RATE -- THAILAND ","VENEZUELA -- SPOT EXCHANGE RATE, BOLIVARES/US$ "
"Unit:","Currency:_Per_AUD","Currency:_Per_EUR","Currency:_Per_NZD","Currency:_Per_GBP","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1","1","0.00999999978","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","MYR","MXN","NOK","ZAR","SGD","KRW","LKR","SEK","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.KO","RXI_N.M.SL","RXI_N.M.SD","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2011-04,1.0588,1.4460,0.7894,1.6379,1.5833,0.9580,6.5267,5.1577,7.7716,44.3010,83.1771,3.0101,11.7059,5.4015,6.7209,1.2463,1083.1762,110.2129,6.1990,0.8972,28.9824,30.0424,4.2893
2011-05,1.0675,1.4335,0.7959,1.6332,1.6136,0.9680,6.4957,5.2030,7.7742,44.9024,81.1257,3.0127,11.6542,5.4766,6.8556,1.2387,1084.3619,109.7629,6.2526,0.8740,28.7262,30.2210,4.2893
2011-06,1.0617,1.4403,0.8157,1.6219,1.5854,0.9766,6.4746,5.1782,7.7850,44.8109,80.4259,3.0269,11.8055,5.4366,6.7859,1.2336,1080.4523,109.5391,6.3273,0.8401,28.8118,30.4995,4.2893
2011-07,1.0781,1.4275,0.8480,1.6158,1.5625,0.9553,6.4575,5.2230,7.7892,44.3960,79.2425,2.9924,11.6741,5.4502,6.7871,1.2158,1057.4250,109.4570,6.3957,0.8214,28.8350,30.0475,4.2893
2011-08,1.0502,1.4333,0.8379,1.6356,1.5966,0.9817,6.4036,5.1973,7.7965,45.3135,76.9657,2.9824,12.2366,5.4353,7.0871,1.2089,1073.8870,109.7139,6.3970,0.7800,28.9674,29.8735,4.2893
2011-09,1.0220,1.3747,0.8119,1.5771,1.7492,1.0025,6.3885,5.4170,7.7943,47.6905,76.7957,3.0838,13.0637,5.6257,7.5769,1.2537,1121.9095,110.0529,6.6460,0.8767,29.7395,30.4571,4.2893
2011-10,1.0168,1.3732,0.7912,1.5768,1.7703,1.0198,6.3710,5.4225,7.7774,49.2020,76.6430,3.1336,13.4379,5.6405,7.9540,1.2757,1150.6850,110.0875,6.6396,0.8958,30.2590,30.8395,4.2893
2011-11,1.0112,1.3558,0.7714,1.5806,1.7864,1.0248,6.3564,5.4886,7.7809,50.6785,77.5595,3.1521,13.6955,5.7405,8.1493,1.2886,1133.4775,111.2205,6.7377,0.9079,30.2215,30.9315,4.2893
2011-12,1.0122,1.3155,0.7699,1.5587,1.8391,1.0235,6.3482,5.6521,7.7767,52.3824,77.7967,3.1590,13.7746,5.8912,8.1933,1.2954,1148.1262,113.8067,6.8553,0.9334,30.2505,31.1743,4.2893
2012-01,1.0415,1.2910,0.8015,1.5524,1.7850,1.0130,6.3172,5.7599,7.7622,51.0015,76.9640,3.1092,13.3829,5.9424,8.0025,1.2777,1140.3275,113.8195,6.8463,0.9376,29.9900,31.5060,4.2893
